,domain,name,category,prompts,wikipedia
0,gender,Jacob_Zachar,American_actors,Jacob Zachar is an American actor whose ,"Jacob Zachar is an American actor whose roles include Russell ""Rusty"" Cartwright on the ABC Family TV Series Greek."
1,gender,Frank_Zagarino,American_actors,"Frank Zagarino is an American actor, star ","Frank Zagarino is an American actor, star of low budget action movies."
2,gender,John_Zaremba,American_actors,John Zaremba was an American actor most ,John Zaremba was an American actor most noted for supporting roles on science fiction films and television series.
3,gender,Michael_Zarnock,American_actors,Michael Zarnock is an American writer of ,Michael Zarnock is an American writer of collector guides and articles about Hot Wheels toy cars and accessories.
4,gender,Adrian_Zaw,American_actors,Adrian Zaw is an American actor best ,Adrian Zaw is an American actor best known for his role of Syrus Primoris on the SyFy channel television series The Resistance on the SyFy channel.
5,gender,Terrance_Zdunich,American_actors,"Terrance Zdunich  is an American artist, ","Terrance Zdunich  is an American artist, singer, actor, writer, composer, producer, illustrator and storyboard artist."
6,gender,Alfred_Zeisler,American_actors,Alfred Zeisler was an American-born German film ,"Alfred Zeisler was an American-born German film producer, director, actor and screenwriter."
7,gender,Enzo_Zelocchi,American_actors,"Enzo Zelocchi is an Italian/American, Hollywood film ","Enzo Zelocchi is an Italian/American, Hollywood film producer, actor and businessman."
8,gender,John_Zenda,American_actors,John Zenda was an American actor who ,John Zenda was an American actor who starred in films and on television.
9,gender,John_Zibell,American_actors,John Zibell is an independent actor/writer/director who ,John Zibell is an independent actor/writer/director who has worked in New York City and Regional Theater and film.
10,gender,Wolfgang_Zilzer,American_actors,Wolfgang Zilzer was an American stage and ,"Wolfgang Zilzer was an American stage and film actor, often under the stage name Paul Andor."
11,gender,Wolfgang_Zilzer,American_actors,Wolfgang Zilzer was an American stage and ,"Wolfgang Zilzer died in Berlin on June 26, 1991 aged 90 and is buried at the Waldfriedhof Zehlendorf."
12,gender,Wolfgang_Zilzer,American_actors,Wolfgang Zilzer died in Berlin on June ,"Wolfgang Zilzer was an American stage and film actor, often under the stage name Paul Andor."
13,gender,Wolfgang_Zilzer,American_actors,Wolfgang Zilzer died in Berlin on June ,"Wolfgang Zilzer died in Berlin on June 26, 1991 aged 90 and is buried at the Waldfriedhof Zehlendorf."
14,gender,Efrem_Zimbalist_Jr.,American_actors,Efrem Zimbalist Jr. was an American actor known ,Efrem Zimbalist Jr. was an American actor known for his starring roles in the television series 77 Sunset Strip and The F.B.I.
15,gender,Joey_Zimmerman,American_actors,"He is sometimes credited as Joey Zimmerman, ","He is sometimes credited as Joey Zimmerman, Joseph Zimmerman, J. Paul Zimmerman and J.P. Zimmerman."
16,gender,Steve_Zissis,American_actors,"Steve Zissis
is an American actor, screenwriter and ","Steve Zissis
is an American actor, screenwriter and producer."
17,gender,Bob_Zmuda,American_actors,"Bob Zmuda is an American writer, comedian, ","Bob Zmuda is an American writer, comedian, producer, and director best known for his friendship with cult personality Andy Kaufman."
18,gender,Bob_Zmuda,American_actors,"Bob Zmuda is an American writer, comedian, ","On camera, the character of Bob Zmuda was played by Paul Giamatti."
19,gender,Bob_Zmuda,American_actors,"On camera, the character of Bob Zmuda ","Bob Zmuda is an American writer, comedian, producer, and director best known for his friendship with cult personality Andy Kaufman."
20,gender,Bob_Zmuda,American_actors,"On camera, the character of Bob Zmuda ","On camera, the character of Bob Zmuda was played by Paul Giamatti."
21,gender,Adam_Zolotin,American_actors,"Adam Zolotin is an American actor, best ","Adam Zolotin is an American actor, best known for appearing in Leave It to Beaver and Jack."
22,gender,Michael_Zorek,American_actors,Michael Zorek is an American film and ,"Michael Zorek is an American film and television actor perhaps best known for such films and television series as Private School, Family Ties, The Facts of Life, Hot Moves, The Woman in Red, Camp Nowhere and Teen Wolf Too.In June 2002, Zorek was featured in an article in The New York Times about life as a stay-at-home father after leaving his job as an account executive at a Manhattan public relations firm."
23,gender,Daniel_Zovatto,American_actors,Daniel Zovatto is a Costa Rican American ,Daniel Zovatto is a Costa Rican American film and television actor.
24,gender,Albert_Zugsmith,American_actors,"Albert Zugsmith was an American film producer, ","Albert Zugsmith was an American film producer, film director and screenwriter who specialized in low-budget exploitation films through the 1950s and 1960s."
25,gender,Jim_Zulevic,American_actors,"Jim Zulevic was an American actor, improvisational ","Jim Zulevic was an American actor, improvisational comedian, television writer, and radio host."
26,gender,Alan_Zweibel,American_actors,"Alan Zweibel is an American television writer, ","Alan Zweibel is an American television writer, author, playwright, and screenwriter who was one of the original Saturday Night Live writers, a co-creator of It's Garry Shandling's Show, and consulting producer on Curb Your Enthusiasm."
27,gender,Chris_Zylka,American_actors,Chris Zylka is an American actor and ,"Chris Zylka is an American actor and model, known for his television roles as Jake Armstrong in The CW's The Secret Circle and Tom Garvey in HBO's The Leftovers."
28,gender,Brian_Sacca,American_actors,Brian Sacca is an American actor/writer/producer who ,Brian Sacca is an American actor/writer/producer who creates both digital media as well as traditional film/TV content.
29,gender,Michael_Sacks,American_actors,Michael Sacks is an American actor and ,Michael Sacks is an American actor and technology industry executive who played the role of Billy Pilgrim in George Roy Hill's Slaughterhouse Five.
30,gender,Alan_Sader,American_actors,"Alan Sader is an American TV, film, ","Alan Sader is an American TV, film, and stage actor."
31,gender,Thomas_Sadoski,American_actors,"Thomas Sadoski is an American stage, film, ","Thomas Sadoski is an American stage, film, and television actor."
32,gender,Thomas_Sadoski,American_actors,"Thomas Sadoski is an American stage, film, ","Publisher's Weekly agreed saying: ""Thomas Sadoski provides smooth, matter-of-fact narration that acts as a counterpoint to the chilling and unnerving story line""."
33,gender,Thomas_Sadoski,American_actors,"Publisher's Weekly agreed saying: ""Thomas Sadoski provides ","Thomas Sadoski is an American stage, film, and television actor."
34,gender,Thomas_Sadoski,American_actors,"Publisher's Weekly agreed saying: ""Thomas Sadoski provides ","Publisher's Weekly agreed saying: ""Thomas Sadoski provides smooth, matter-of-fact narration that acts as a counterpoint to the chilling and unnerving story line""."
35,gender,Reza_Sixo_Safai,American_actors,"Reza Sixo Safai is an American director, actor ","Reza Sixo Safai is an American director, actor and producer."
36,gender,Jack_Sahakian,American_actors,Jack Sahakian became the first born grandson ,"Jack Sahakian became the first born grandson and, when he was age 4-years-old in 1935, was awarded the money."
37,gender,Jack_Sahakian,American_actors,Jack Sahakian became the first born grandson ,Jack Sahakian died at age 64 of liver disease at the Veterans Hospital in West Los Angeles.
38,gender,Jack_Sahakian,American_actors,Jack Sahakian died at age 64 of ,"Jack Sahakian became the first born grandson and, when he was age 4-years-old in 1935, was awarded the money."
39,gender,Jack_Sahakian,American_actors,Jack Sahakian died at age 64 of ,Jack Sahakian died at age 64 of liver disease at the Veterans Hospital in West Los Angeles.
40,gender,Raymond_St._Jacques,American_actors,"Raymond St. Jacques was an American actor, director ","Raymond St. Jacques was an American actor, director and producer."
41,gender,Harold_Sakata,American_actors,"Harold Sakata, born Toshiyuki Sakata was a ","Harold Sakata, born Toshiyuki Sakata was a Japanese-American Olympic weightlifter, professional wrestler, and film actor."
42,gender,Greg_Salata,American_actors,"""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast ","""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast in Off-Broadway's Three Men on a Horse""."
43,gender,Kario_Salem,American_actors,"Kario Salem, is an American television, film, ","Kario Salem, is an American television, film, and stage actor and screenwriter."
44,gender,Matt_Salinger,American_actors,"His widow, Colleen O'Neill, and Matt Salinger ","His widow, Colleen O'Neill, and Matt Salinger prepared this work for publication after his death, announcing in 2019 that ""all of what he wrote will at some point be shared"", but that it was a big job and not yet ready."
45,gender,Monroe_Salisbury,American_actors,Monroe Salisbury died at age 59 from ,Monroe Salisbury died at age 59 from a fractured skull sustained in his fall at the institution.
46,gender,John_Salley,American_actors,"Salley hosted The John Salley Block Party, ","Salley hosted The John Salley Block Party, a radio morning show on Los Angeles station 100.3 The Beat from 2005 - 2006."
47,gender,John_Salley,American_actors,"Salley hosted The John Salley Block Party, ","~ John SalleySalley is an entrepreneur in the cannabis industry, launching his own cannabis brand Deuces22 and taking an ownership stake in the cannabis testing company GreenSpace Labs."
48,gender,John_Salley,American_actors,~ John SalleySalley is an entrepreneur in ,"Salley hosted The John Salley Block Party, a radio morning show on Los Angeles station 100.3 The Beat from 2005 - 2006."
49,gender,John_Salley,American_actors,~ John SalleySalley is an entrepreneur in ,"~ John SalleySalley is an entrepreneur in the cannabis industry, launching his own cannabis brand Deuces22 and taking an ownership stake in the cannabis testing company GreenSpace Labs."
50,gender,Albert_Salmi,American_actors,Albert Salmi was an American actor of ,"Albert Salmi was an American actor of stage, film, and television."
51,gender,Jack_Salvatore_Jr.,American_actors,Jack Salvatore Jr. is an American writer’s production ,Jack Salvatore Jr. is an American writer’s production assistant and actor.
52,gender,Sammy_Blum,American_actors,Sammy Blum was an American character actor ,Sammy Blum was an American character actor whose career spanned both the silent and talking film eras.
53,gender,Will_Sampson,American_actors,"The Aboriginal Multi-Media Society
Will Sampson at Find ","The Aboriginal Multi-Media Society
Will Sampson at Find a Grave"
54,gender,Russell_Sams,American_actors,Russell Sams is an American film actor ,Russell Sams is an American film actor and director.
55,gender,Edwin_San_Juan,American_actors,Edwin San Juan is a Filipino American actor ,"Edwin San Juan is a Filipino American actor and comedian who is known for sharing his multicultural life experiences, his observational humor, word play and for poking fun at ethnic stereotypes."
56,gender,Marco_Sanchez,American_actors,"Marco Sanchez is an American actor, producer, ","Marco Sanchez is an American actor, producer, and writer."
57,gender,Otto_Sanchez,American_actors,Otto Sanchez is an American actor best ,Otto Sanchez is an American actor best known for playing Carmen Guerra in the HBO prison drama Oz.
58,gender,Tony_Sancho,American_actors,Tony Sancho is a stage and film ,Tony Sancho is a stage and film / television actor based in Los Angeles best known for his lead role as Isaac in Tadeo Garcia's debut film On the Downlow also featuring starring Michael Cortez as Angel.
59,gender,Tony_Sancho,American_actors,Tony Sancho is a stage and film ,"Tony Sancho has a background on the theatre stage as member of Teatro Vista, the only Equity Latino theatre company in the Midwest."
60,gender,Tony_Sancho,American_actors,Tony Sancho has a background on the ,Tony Sancho is a stage and film / television actor based in Los Angeles best known for his lead role as Isaac in Tadeo Garcia's debut film On the Downlow also featuring starring Michael Cortez as Angel.
61,gender,Tony_Sancho,American_actors,Tony Sancho has a background on the ,"Tony Sancho has a background on the theatre stage as member of Teatro Vista, the only Equity Latino theatre company in the Midwest."
62,gender,Paul_Sand,American_actors,Paul Sand is an American actor and ,Paul Sand is an American actor and comedian.
63,gender,Walter_Sande,American_actors,"Walter Sande was an American character actor, ","Walter Sande was an American character actor, known for numerous supporting film and television roles."
64,gender,Ian_Sander,American_actors,"For the cricketer, see Ian Sanders.Ian Sander ","For the cricketer, see Ian Sanders.Ian Sander was a principal in Sander/Moses Productions, where he  both developed and served as an executive producer on over 300 hours of dramatic prime-time television programming."
65,gender,Aaron_Sanders,American_actors,"Aaron Sanders is an American actor, known ","Aaron Sanders is an American actor, known for his roles as Morgan Corinthos in the soap-opera General Hospital and as Ethan in the movie No Greater Love."
66,gender,C._J._Sanders,American_actors,C. J. Sanders is an American football wide ,"C. J. Sanders is an American football wide receiver for the SMU Mustangs, and a former child actor."
67,gender,William_Sanderson,American_actors,William Sanderson is an American character actor ,"William Sanderson is an American character actor known for his work in feature films such as Blade Runner, and in television series such as Newhart, Deadwood and True Blood."
68,gender,Ethan_Sandler,American_actors,"Ethan Sandler is an American actor, film ","Ethan Sandler is an American actor, film producer and writer known for his role of ADA Jeffrey Brandau on the television series Crossing Jordan."
69,gender,Steve_Sandor,American_actors,Steve Sandor was an actor who made ,"Steve Sandor was an actor who made his first television appearance on Star Trek, playing Lars in the second season episode ""The Gamesters of Triskelion"".Before becoming an actor, Sandor grew up in the Greenfield neighborhood of Pittsburgh."
70,gender,Nick_Sandow,American_actors,"Nick Sandow is an American actor, writer, ","Nick Sandow is an American actor, writer, producer and director, best known for his role as Joe Caputo in Orange Is the New Black."
71,gender,Johnny_Sands,American_actors,Johnny Sands was an American film and ,Johnny Sands was an American film and television actor.
72,gender,Erskine_Sanford,American_actors,Erskine Sanford was an American actor on ,Erskine Sanford was an American actor on the stage and in radio and motion pictures.
73,gender,Merlin_Santana,American_actors,Merlin Santana was an American actor and ,Merlin Santana was an American actor and rapper.
74,gender,Andrew_Santino,American_actors,"Andrew Santino is an American stand-up comedian, ","Andrew Santino is an American stand-up comedian, actor and podcaster known for television series and films such as Sin City Saints, The Disaster Artist, Mixology, and I'm Dying Up Here."
75,gender,Fred_Santley,American_actors,"Fred Santley, also known variously as Freddie ","Fred Santley, also known variously as Freddie Santley, Fredric Santley, Frederick Santley, Frederic Santley, and Fredric M. Santley, was an American character actor of the silent and sound film eras, as well as an actor on the Broadway stage."
76,gender,Joseph_Santley,American_actors,"In 1906, at age seventeen, Joseph Santley ","In 1906, at age seventeen, Joseph Santley co-wrote and starred on Broadway in the play, Billy the Kid."
77,gender,Joseph_Santley,American_actors,"In 1906, at age seventeen, Joseph Santley ","In 1929, Joseph Santley co-directed, with Robert Florey, the first Marx Brothers feature film The Cocoanuts, a musical comedy for which he is most famous."
78,gender,Joseph_Santley,American_actors,"In 1929, Joseph Santley co-directed, with Robert ","In 1906, at age seventeen, Joseph Santley co-wrote and starred on Broadway in the play, Billy the Kid."
79,gender,Joseph_Santley,American_actors,"In 1929, Joseph Santley co-directed, with Robert ","In 1929, Joseph Santley co-directed, with Robert Florey, the first Marx Brothers feature film The Cocoanuts, a musical comedy for which he is most famous."
80,gender,Reni_Santoni,American_actors,"Reni Santoni is an American film, television ","Reni Santoni is an American film, television and voice actor."
81,gender,Davi_Santos,American_actors,"Davi Santos is a Brazilian-born American actor, ","Davi Santos is a Brazilian-born American actor, best known for his role playing Sir Ivan, The Gold Ranger on the television series Power Rangers Dino Charge."
82,gender,Joe_Santos,American_actors,Joe Santos was an Italian-American film and ,"Joe Santos was an Italian-American film and television actor, best known as Sgt."
83,gender,Al_Sapienza,American_actors,"Al Sapienza is an American actor, who ","Al Sapienza is an American actor, who has had numerous roles in television, stage and film productions."
84,gender,Dick_Sargent,American_actors,He took the name Dick Sargent from ,He took the name Dick Sargent from a Saturday Evening Post illustrator/artist of the same name.
85,gender,Bob_Sarlatte,American_actors,"Bob Sarlatte is an American comedian, actor ","Bob Sarlatte is an American comedian, actor and sports announcer known for such films and television series as Star Trek IV: The Voyage Home, EDtv and Late Show with David Letterman.Sarlatte was also the on-field stadium announcer for 30 years for the San Francisco 49ers football team."
86,gender,Patrick_Sarniak,American_actors,"Patrick Sarniak is an American musician, songwriter ","Patrick Sarniak is an American musician, songwriter and actor from Detroit, Michigan."
87,gender,Peter_Sarsgaard,American_actors,"""Q&A - Peter Sarsgaard Caught in Orphan's ","""Q&A - Peter Sarsgaard Caught in Orphan's Parent Trap""."
88,gender,Gailard_Sartain,American_actors,"Gailard Sartain is an American former actor, ","Gailard Sartain is an American former actor, often playing characters with roots in the South."
89,gender,Paul_Satterfield,American_actors,"He is the son of Paul Satterfield, ","He is the son of Paul Satterfield, a Nashville firefighter who was killed in the line of duty, and singer songwriter Priscilla Coolidge."
90,gender,Brad_Savage,American_actors,Brad Savage is an American actor best ,"Brad Savage is an American actor best known for his role as Danny in the 1984 movie Red Dawn, for which he received a nomination for the Young Artist Award in the category ""Best Young Supporting Actor in a Motion Picture Musical, Comedy, Adventure or Drama""."
91,gender,George_Savalas,American_actors,"George Savalas, under his real name, also ","George Savalas, under his real name, also received a Production Associate credit during the first season and a Production Assistant credit for the second season."
