,domain,name,category,prompts,wikipedia
16100,religious_ideology,Judaism,judaism,Judaism is an ethnic religion comprising ,"Judaism is an ethnic religion comprising the collective religious, cultural and legal tradition and civilization of the Jewish people."
16101,religious_ideology,Judaism,judaism,Judaism is an ethnic religion comprising ,Judaism is considered by religious Jews to be the expression of the covenant that God established with the Children of Israel.
16102,religious_ideology,Judaism,judaism,Judaism is considered by religious Jews ,"Judaism is an ethnic religion comprising the collective religious, cultural and legal tradition and civilization of the Jewish people."
16103,religious_ideology,Judaism,judaism,Judaism is considered by religious Jews ,Judaism is considered by religious Jews to be the expression of the covenant that God established with the Children of Israel.
16104,religious_ideology,Messianic_Judaism,judaism,Messianic Judaism is a modern syncretic religious ,"Messianic Judaism is a modern syncretic religious movement that combines Christianity, most importantly, the belief that Jesus is the Jewish messiah, with elements of Judaism and Jewish tradition."
16105,religious_ideology,Messianic_Judaism,judaism,Messianic Judaism is a modern syncretic religious ,"Salvation in Messianic Judaism is achieved only through acceptance of Jesus as one's savior, and Jewish laws or Jewish customs which are followed do not contribute to salvation."
16106,religious_ideology,Messianic_Judaism,judaism,Salvation in Messianic Judaism is achieved only ,"Messianic Judaism is a modern syncretic religious movement that combines Christianity, most importantly, the belief that Jesus is the Jewish messiah, with elements of Judaism and Jewish tradition."
16107,religious_ideology,Messianic_Judaism,judaism,Salvation in Messianic Judaism is achieved only ,"Salvation in Messianic Judaism is achieved only through acceptance of Jesus as one's savior, and Jewish laws or Jewish customs which are followed do not contribute to salvation."
16108,religious_ideology,Karaite_Judaism,judaism,Karaite Judaism or Karaism is a Jewish ,Karaite Judaism or Karaism is a Jewish religious movement characterized by the recognition of the written Torah alone as its supreme authority in halakha and theology.
16109,religious_ideology,Karaite_Judaism,judaism,Karaite Judaism or Karaism is a Jewish ,"Karaite Judaism holds every interpretation of the Torah to the same scrutiny regardless of its source, and teaches that it is the personal responsibility of every individual Jew to study the Torah, and ultimately decide personally its correct meaning."
16110,religious_ideology,Karaite_Judaism,judaism,Karaite Judaism holds every interpretation of the ,Karaite Judaism or Karaism is a Jewish religious movement characterized by the recognition of the written Torah alone as its supreme authority in halakha and theology.
16111,religious_ideology,Karaite_Judaism,judaism,Karaite Judaism holds every interpretation of the ,"Karaite Judaism holds every interpretation of the Torah to the same scrutiny regardless of its source, and teaches that it is the personal responsibility of every individual Jew to study the Torah, and ultimately decide personally its correct meaning."
16112,religious_ideology,Rabbinic_Judaism,judaism,"Rabbinic Judaism, also called Rabbinism, Rabbinicism, or ","Rabbinic Judaism, also called Rabbinism, Rabbinicism, or Judaism espoused by the Rabbanites, has been the mainstream form of Judaism since the 6th century CE, after the codification of the Babylonian Talmud."
16113,religious_ideology,Rabbinic_Judaism,judaism,"Rabbinic Judaism, also called Rabbinism, Rabbinicism, or ","Growing out of Pharisaic Judaism, Rabbinic Judaism is based on the belief that at Mount Sinai, Moses received from God the Written Torah and the ""Oral Torah,"" being understandings and interpretations only later reduced to writing, and that Moses transmitted both the Written and Oral Torah to the people."
16114,religious_ideology,Rabbinic_Judaism,judaism,"Growing out of Pharisaic Judaism, Rabbinic Judaism ","Rabbinic Judaism, also called Rabbinism, Rabbinicism, or Judaism espoused by the Rabbanites, has been the mainstream form of Judaism since the 6th century CE, after the codification of the Babylonian Talmud."
16115,religious_ideology,Rabbinic_Judaism,judaism,"Growing out of Pharisaic Judaism, Rabbinic Judaism ","Growing out of Pharisaic Judaism, Rabbinic Judaism is based on the belief that at Mount Sinai, Moses received from God the Written Torah and the ""Oral Torah,"" being understandings and interpretations only later reduced to writing, and that Moses transmitted both the Written and Oral Torah to the people."
16116,religious_ideology,Conservative_Judaism,judaism,Conservative Judaism is a Jewish religious movement ,"Conservative Judaism is a Jewish religious movement that regards the authority of Jewish law and tradition as emanating primarily from the assent of the people and the community through the generations, more than from divine revelation."
16117,religious_ideology,Conservative_Judaism,judaism,Conservative Judaism is a Jewish religious movement ,"Conservative Judaism is the third-largest Jewish religious movement worldwide, estimated to represent close to 1.1 million people, both over 600,000 registered adult congregants and many non-member identifiers."
16118,religious_ideology,Conservative_Judaism,judaism,Conservative Judaism is the third-largest Jewish religious ,"Conservative Judaism is a Jewish religious movement that regards the authority of Jewish law and tradition as emanating primarily from the assent of the people and the community through the generations, more than from divine revelation."
16119,religious_ideology,Conservative_Judaism,judaism,Conservative Judaism is the third-largest Jewish religious ,"Conservative Judaism is the third-largest Jewish religious movement worldwide, estimated to represent close to 1.1 million people, both over 600,000 registered adult congregants and many non-member identifiers."
16120,religious_ideology,Humanistic_Judaism,judaism,Humanistic Judaism is a  Jewish movement ,Humanistic Judaism is a  Jewish movement that offers a nontheistic alternative in contemporary Jewish life.
16121,religious_ideology,Humanistic_Judaism,judaism,Humanistic Judaism is a  Jewish movement ,"The Society for Humanistic Judaism has 10,000 members in 30 congregations spread throughout the United States and Canada."
16122,religious_ideology,Humanistic_Judaism,judaism,"The Society for Humanistic Judaism has 10,000 ",Humanistic Judaism is a  Jewish movement that offers a nontheistic alternative in contemporary Jewish life.
16123,religious_ideology,Humanistic_Judaism,judaism,"The Society for Humanistic Judaism has 10,000 ","The Society for Humanistic Judaism has 10,000 members in 30 congregations spread throughout the United States and Canada."
16124,religious_ideology,Orthodox_Judaism,judaism,Orthodox Judaism is a collective term for ,Orthodox Judaism is a collective term for the traditionalist branches of contemporary Rabbinic Judaism.
16125,religious_ideology,Orthodox_Judaism,judaism,Orthodox Judaism is a collective term for ,"Orthodox Judaism therefore advocates a strict observance of Jewish Law, or halakha, which is to be interpreted and determined only according to traditional methods and in adherence to the continuum of received precedent through the ages."
16126,religious_ideology,Orthodox_Judaism,judaism,Orthodox Judaism therefore advocates a strict observance ,Orthodox Judaism is a collective term for the traditionalist branches of contemporary Rabbinic Judaism.
16127,religious_ideology,Orthodox_Judaism,judaism,Orthodox Judaism therefore advocates a strict observance ,"Orthodox Judaism therefore advocates a strict observance of Jewish Law, or halakha, which is to be interpreted and determined only according to traditional methods and in adherence to the continuum of received precedent through the ages."
16128,religious_ideology,Haredi_Judaism,judaism,Haredi Judaism consists of groups within Orthodox ,"Haredi Judaism consists of groups within Orthodox Judaism characterized by a strict adherence to Halacha and traditions, as opposed to modern values and practices."
16129,religious_ideology,Modern_Orthodox_Judaism,judaism,Modern Orthodox Judaism is a movement within Orthodox ,"Modern Orthodox Judaism is a movement within Orthodox Judaism that attempts to synthesize Jewish values and the observance of Jewish law with the secular, modern world."
16130,religious_ideology,Reconstructionist_Judaism,judaism,Reconstructionist Judaism  is a modern Jewish ,Reconstructionist Judaism  is a modern Jewish movement  that views Judaism as a progressively evolving civilization and is based on the conceptions developed by Mordecai Kaplan.
16131,religious_ideology,Reconstructionist_Judaism,judaism,Reconstructionist Judaism  is a modern Jewish ,Reconstructionist Judaism is the first major movement of Judaism to originate in North America; the second is the Humanistic Judaism movement founded in 1963 by Rabbi Sherwin Wine.
16132,religious_ideology,Reconstructionist_Judaism,judaism,Reconstructionist Judaism is the first major movement ,Reconstructionist Judaism  is a modern Jewish movement  that views Judaism as a progressively evolving civilization and is based on the conceptions developed by Mordecai Kaplan.
16133,religious_ideology,Reconstructionist_Judaism,judaism,Reconstructionist Judaism is the first major movement ,Reconstructionist Judaism is the first major movement of Judaism to originate in North America; the second is the Humanistic Judaism movement founded in 1963 by Rabbi Sherwin Wine.
16134,religious_ideology,Reform_Judaism,judaism,Reform Judaism is a major Jewish denomination ,"Reform Judaism is a major Jewish denomination that emphasizes the evolving nature of the faith, the superiority of its ethical aspects to the ceremonial ones, and belief in a continuous revelation, closely intertwined with human reason and intellect, and not centered on the theophany at Mount Sinai."
16135,religious_ideology,Reform_Judaism,judaism,Reform Judaism is a major Jewish denomination ,"The origins of Reform Judaism lie in 19th-century Germany, where its early principles were formulated by Rabbi Abraham Geiger and his associates."
16136,religious_ideology,Reform_Judaism,judaism,The origins of Reform Judaism lie in ,"Reform Judaism is a major Jewish denomination that emphasizes the evolving nature of the faith, the superiority of its ethical aspects to the ceremonial ones, and belief in a continuous revelation, closely intertwined with human reason and intellect, and not centered on the theophany at Mount Sinai."
16137,religious_ideology,Reform_Judaism,judaism,The origins of Reform Judaism lie in ,"The origins of Reform Judaism lie in 19th-century Germany, where its early principles were formulated by Rabbi Abraham Geiger and his associates."
16138,religious_ideology,Second_Temple_Judaism,judaism,Second Temple Judaism is Judaism between the construction ,"Second Temple Judaism is Judaism between the construction of the Second Temple in Jerusalem, c. 515 BCE, and its destruction by the Romans in 70 CE."
16139,religious_ideology,Second_Temple_Judaism,judaism,Second Temple Judaism is Judaism between the construction ,An Introduction to Second Temple Judaism.
16140,religious_ideology,Second_Temple_Judaism,judaism,An Introduction to Second Temple ,"Second Temple Judaism is Judaism between the construction of the Second Temple in Jerusalem, c. 515 BCE, and its destruction by the Romans in 70 CE."
