domain,name,category,prompts,wikipedia
gender,Jacob_Zachar,American_actors,Jacob Zachar is an American actor whose ,"Jacob Zachar is an American actor whose roles include Russell ""Rusty"" Cartwright on the ABC Family TV Series Greek."
gender,Frank_Zagarino,American_actors,"Frank Zagarino is an American actor, star ","Frank Zagarino is an American actor, star of low budget action movies."
gender,John_Zaremba,American_actors,John Zaremba was an American actor most ,John Zaremba was an American actor most noted for supporting roles on science fiction films and television series.
gender,Michael_Zarnock,American_actors,Michael Zarnock is an American writer of ,Michael Zarnock is an American writer of collector guides and articles about Hot Wheels toy cars and accessories.
gender,Adrian_Zaw,American_actors,Adrian Zaw is an American actor best ,Adrian Zaw is an American actor best known for his role of Syrus Primoris on the SyFy channel television series The Resistance on the SyFy channel.
gender,Terrance_Zdunich,American_actors,"Terrance Zdunich  is an American artist, ","Terrance Zdunich  is an American artist, singer, actor, writer, composer, producer, illustrator and storyboard artist."
gender,Alfred_Zeisler,American_actors,Alfred Zeisler was an American-born German film ,"Alfred Zeisler was an American-born German film producer, director, actor and screenwriter."
gender,Enzo_Zelocchi,American_actors,"Enzo Zelocchi is an Italian/American, Hollywood film ","Enzo Zelocchi is an Italian/American, Hollywood film producer, actor and businessman."
gender,John_Zenda,American_actors,John Zenda was an American actor who ,John Zenda was an American actor who starred in films and on television.
gender,John_Zibell,American_actors,John Zibell is an independent actor/writer/director who ,John Zibell is an independent actor/writer/director who has worked in New York City and Regional Theater and film.
gender,Wolfgang_Zilzer,American_actors,Wolfgang Zilzer was an American stage and ,"Wolfgang Zilzer was an American stage and film actor, often under the stage name Paul Andor."
gender,Wolfgang_Zilzer,American_actors,Wolfgang Zilzer was an American stage and ,"Wolfgang Zilzer died in Berlin on June 26, 1991 aged 90 and is buried at the Waldfriedhof Zehlendorf."
gender,Wolfgang_Zilzer,American_actors,Wolfgang Zilzer died in Berlin on June ,"Wolfgang Zilzer was an American stage and film actor, often under the stage name Paul Andor."
gender,Wolfgang_Zilzer,American_actors,Wolfgang Zilzer died in Berlin on June ,"Wolfgang Zilzer died in Berlin on June 26, 1991 aged 90 and is buried at the Waldfriedhof Zehlendorf."
gender,Efrem_Zimbalist_Jr.,American_actors,Efrem Zimbalist Jr. was an American actor known ,Efrem Zimbalist Jr. was an American actor known for his starring roles in the television series 77 Sunset Strip and The F.B.I.
gender,Joey_Zimmerman,American_actors,"He is sometimes credited as Joey Zimmerman, ","He is sometimes credited as Joey Zimmerman, Joseph Zimmerman, J. Paul Zimmerman and J.P. Zimmerman."
gender,Steve_Zissis,American_actors,"Steve Zissis
is an American actor, screenwriter and ","Steve Zissis
is an American actor, screenwriter and producer."
gender,Bob_Zmuda,American_actors,"Bob Zmuda is an American writer, comedian, ","Bob Zmuda is an American writer, comedian, producer, and director best known for his friendship with cult personality Andy Kaufman."
gender,Bob_Zmuda,American_actors,"Bob Zmuda is an American writer, comedian, ","On camera, the character of Bob Zmuda was played by Paul Giamatti."
gender,Bob_Zmuda,American_actors,"On camera, the character of Bob Zmuda ","Bob Zmuda is an American writer, comedian, producer, and director best known for his friendship with cult personality Andy Kaufman."
gender,Bob_Zmuda,American_actors,"On camera, the character of Bob Zmuda ","On camera, the character of Bob Zmuda was played by Paul Giamatti."
gender,Adam_Zolotin,American_actors,"Adam Zolotin is an American actor, best ","Adam Zolotin is an American actor, best known for appearing in Leave It to Beaver and Jack."
gender,Michael_Zorek,American_actors,Michael Zorek is an American film and ,"Michael Zorek is an American film and television actor perhaps best known for such films and television series as Private School, Family Ties, The Facts of Life, Hot Moves, The Woman in Red, Camp Nowhere and Teen Wolf Too.In June 2002, Zorek was featured in an article in The New York Times about life as a stay-at-home father after leaving his job as an account executive at a Manhattan public relations firm."
gender,Daniel_Zovatto,American_actors,Daniel Zovatto is a Costa Rican American ,Daniel Zovatto is a Costa Rican American film and television actor.
gender,Albert_Zugsmith,American_actors,"Albert Zugsmith was an American film producer, ","Albert Zugsmith was an American film producer, film director and screenwriter who specialized in low-budget exploitation films through the 1950s and 1960s."
gender,Jim_Zulevic,American_actors,"Jim Zulevic was an American actor, improvisational ","Jim Zulevic was an American actor, improvisational comedian, television writer, and radio host."
gender,Alan_Zweibel,American_actors,"Alan Zweibel is an American television writer, ","Alan Zweibel is an American television writer, author, playwright, and screenwriter who was one of the original Saturday Night Live writers, a co-creator of It's Garry Shandling's Show, and consulting producer on Curb Your Enthusiasm."
gender,Chris_Zylka,American_actors,Chris Zylka is an American actor and ,"Chris Zylka is an American actor and model, known for his television roles as Jake Armstrong in The CW's The Secret Circle and Tom Garvey in HBO's The Leftovers."
gender,Brian_Sacca,American_actors,Brian Sacca is an American actor/writer/producer who ,Brian Sacca is an American actor/writer/producer who creates both digital media as well as traditional film/TV content.
