,domain,name,category,prompts,wikipedia,generated_prompts_meta/llama-2-70b
5045,profession,Metalsmith,metalworking_occupations,A metalsmith or simply smith is ,A metalsmith or simply smith is a craftsperson fashioning useful items out of various metals.,"1926, the term smith is used as a suffix in various related occupational names, such as blacksmith, goldsmith, silversmith, locksmith, and swordsmith. The prehistoric art of making stone tools is attested to since the Paleolithic era, between the 6th century BC and the 4th century AD, the Greek population were either scattered slaves or craftsmen. The oldest depiction of a blacksmith is from the 5th century BC and he is working at what appears to be a bellows, but the accompany"
5046,profession,Metalsmith,metalworking_occupations,A metalsmith or simply smith is ,"The term, metalsmith, often refers to artisans and craftpersons who practice their craft in many different metals, including gold, copper and silver.",1 a person involved in metalworking 2 a skilled maker of artifacts eg of tools or weapons from metal having a forge or smithy as a workplace 3 a blacksmith or farrier 4 a goldsmith silversmith or other precious metal worker 5 an artisan who makes high quality objects of base metal eg pewter The 50 Best Metal and Hard Rock Albums of 2019 Dec 06 2019 · The 50 Best Metal and Hard Rock Albums of 2019 The 100
5047,profession,Metalsmith,metalworking_occupations,"The term, metalsmith, often refers to ",A metalsmith or simply smith is a craftsperson fashioning useful items out of various metals.,"20th- and 21st-century artisans who practice the art of handcrafting metal pieces using traditional blacksmithing or silversmithing techniques. The word, blacksmith, refers to a person who is skilled in making objects from iron or steel by forging the metal; that is, using a forge, or furnace, to heat the metal. Historically, blacksmiths have made a variety of objects, including weapons and armor, agricultural implements such as plows, hoes, and rakes, hardware such as nails, screw"
5048,profession,Metalsmith,metalworking_occupations,"The term, metalsmith, often refers to ","The term, metalsmith, often refers to artisans and craftpersons who practice their craft in many different metals, including gold, copper and silver.","3-dimensional artwork such as jewelry and sculpture. The metals and alloys used in silversmithing and goldsmithing may include gold, silver, copper, brass, iron, titanium, niobium, aluminum, and even glass. The techniques of silversmithing and goldsmithing have been practiced since ancient times. The ancient Egyptians, Greeks, Romans, and Byzantines all practiced these art forms. The tools used by a silversmith or a goldsmith"
5049,profession,Blacksmith,metalworking_occupations,A blacksmith is a metalsmith who ,"A blacksmith is a metalsmith who creates objects from wrought iron or steel by forging the metal, using tools to hammer, bend, and cut (cf.","1 creates objects from wrought iron or steel by forging the metal, using tools to hammer, bend, and cut 2 (cf. A bladesmith is a blacksmith who forges knives, swords, and other blades. A tool and die maker is a blacksmith who makes and repairs the tools, dies, and gauges used by other blacksmiths as well as other tradesmen. A blacksmith works with iron and steel to make many useful items. It is usually hot and dirty work. It takes a lot of skill to be"
5050,profession,Blacksmith,metalworking_occupations,A blacksmith is a metalsmith who ,"Blacksmiths produce objects such as gates, grilles, railings, light fixtures, furniture, sculpture, tools, agricultural implements, decorative and religious items, cooking utensils and weapons.","​Crafts​ objects from wrought iron or steel. Prior to the industrial revolution, a blacksmith was an indispensable member of any community. His skills were required to make and repair vital implements, tools and weapons. ​The blacksmith ​worked with iron or steel to make horse shoes, plowshares and weapons. ​The blacksmith made objects by heating metal in ​a forge until it became soft enough to shape with hand tools. The smithy was usually located in a separate building because of the noise involved and the fire ha"
5051,profession,Blacksmith,metalworking_occupations,"Blacksmiths produce objects such as gates, ","A blacksmith is a metalsmith who creates objects from wrought iron or steel by forging the metal, using tools to hammer, bend, and cut (cf.","124.572.400.03.001.jpg, Blacksmith.jpg, 289.498.11.001.jpg, Blacksmith.jpg, 289.498.9.001.jpg, Blacksmith.jpg, 289.498.12.001.jpg, Blacksmith.jpg, 289.498.10.001.jpg, Blacksmith.jpg, 289.4"
5052,profession,Blacksmith,metalworking_occupations,"Blacksmiths produce objects such as gates, ","Blacksmiths produce objects such as gates, grilles, railings, light fixtures, furniture, sculpture, tools, agricultural implements, decorative and religious items, cooking utensils and weapons.","19th-century hand-made iron balusters, grilles, fire guards, fences, and furniture. It was not until the 19th century that cast iron became cheaper than wrought iron, Cast iron is a brittle material that is difficult to work, so not suitable for fine uses. Architectural ironwork was a source of revenue for many blacksmiths. Other applications included iron chain, nails, horseshoes, screws, railway wheels, security grilles, the main market for blacksmiths was the manufacture and repair of hand"
5053,profession,Silversmith,metalworking_occupations,A silversmith is a metalworker who ,A silversmith is a metalworker who crafts objects from silver.,"1) shapes silver 2) makes items out of silver, including silverware and jewelry. 3) A person who repairs or makes articles of silver. The SilverSmith 2019 conference will bring together local and international speakers, artists, designers, makers and thinkers to share a creative vision for the future of contemporary silversmithing and metalwork. The conference will be held in the historic city of Kilkenny and the 3 day event will include demonstrations by leading silversmiths, workshops and presentations from academics, design"
5054,profession,Silversmith,metalworking_occupations,A silversmith is a metalworker who ,"The terms silversmith and goldsmith are not exactly synonyms as the techniques, training, history, and guilds are or were largely the same but the end product may vary greatly as may the scale of objects created.","1) makes silver articles, as dishes or jewelry, or 2) polishes silverware. Paul was a tentmaker by trade, as was his father. We know this because of the following verse: “After this, Paul left Athens and went to Corinth. There he found a Jew named Aquila, a native of Pontus. He had recently come from Italy with his wife Priscilla, because Claudius had ordered all Jews to leave Rome. Paul went to see them, and because he was a tentmaker as they were, he stayed and worked with them. Every Sabbath"
5055,profession,Silversmith,metalworking_occupations,The terms silversmith and goldsmith are ,A silversmith is a metalworker who crafts objects from silver.,"18th- and 20th-century terms respectively, and are considered obsolete terms by the Craft Goldsmiths' Company.  ## Apprenticeship  Apprenticeships are still available to young people looking to enter the trade of goldsmithing. It is considered by most to be the best way of gaining the necessary skills and knowledge required to become a professional goldsmith. There are approximately 200 apprentices at any time training with the Goldsmiths' Company, with many of them training at the Goldsmiths"
5056,profession,Silversmith,metalworking_occupations,The terms silversmith and goldsmith are ,"The terms silversmith and goldsmith are not exactly synonyms as the techniques, training, history, and guilds are or were largely the same but the end product may vary greatly as may the scale of objects created.","15th-century Germanic equivalents of the French orsier and English orfevre, respectively. The word silversmith is used to describe those who work in silver or other materials, while goldsmiths are those who work in gold. The metal used in making silverware is called sterling silver, which contains 92.5% silver and 7.5% copper. Copper is added to the metal to improve its strength and durability. Silversmithing is a craft that has been around for centuries, and it is still practiced today. Silversm"
5057,profession,Jewellery,metalworking_occupations,Jewellery or jewelry consists of decorative ,"Jewellery or jewelry consists of decorative items worn for personal adornment, such as brooches, rings, necklaces, earrings, pendants, bracelets, and cufflinks.","123dress.com items worn for personal adornment, such as brooches, rings, necklaces, earrings, pendants, bracelets, and cufflinks. Jewellery may be attached to the body or the clothes. From a western perspective, the term is restricted to durable ornaments, excluding flowers for example. For many centuries metal, often combined with gemstones, has been the normal material for jewellery, but other materials such as shells and other plant materials may be used. It is one of the oldest type of archaeological artefact"
5058,profession,Jewellery,metalworking_occupations,Jewellery or jewelry consists of decorative ,Jewellery may be attached to the body or the clothes.,"18 carat gold, white gold, yellow gold and rose gold jewelry. 18 carat gold, white gold, yellow gold and rose gold jewelry consists of small decorative items worn for personal adornment, such as brooches, rings, necklaces, earrings, pendants, bracelets, and cufflinks. 18 carat gold, white gold, yellow gold and rose gold jewelry may be attached to the body or the clothes. From a western perspective, the term is restricted to durable ornaments, excluding flowers for example"
5059,profession,Jewellery,metalworking_occupations,Jewellery may be attached to the ,"Jewellery or jewelry consists of decorative items worn for personal adornment, such as brooches, rings, necklaces, earrings, pendants, bracelets, and cufflinks.",2022 FIFA World Cup medals. The medals for the 2022 FIFA World Cup will be custom-made for each player. The 2022 FIFA World Cup medals are expected to be made from gold. Jewelry may be attached to the 2022 FIFA World Cup medals. The medals for the 2022 FIFA World Cup will be custom-made for each player. This means that the players will have a unique medal that is tailored specifically for them. The medals will be made from gold and will have jew
5060,profession,Jewellery,metalworking_occupations,Jewellery may be attached to the ,Jewellery may be attached to the body or the clothes.,"9ct gold or sterling silver. These beautiful shells come from Indonesia. Each shell has been handpicked and carefully polished to show its natural beauty. All of the shells come with a 9ct gold or sterling silver pin. These shells are perfect for weddings, proms or other special occasions. The shells are available in a range of sizes and colours. The shells are available in two sizes, large and small. The shells are available in a range of colours, including white, pink, lavender, blue, green, yellow"
5061,profession,Foundry,metalworking_occupations,A foundry is a factory that ,A foundry is a factory that produces metal castings.,2. a. produces metal. b. makes coins. c. makes candles. d. makes furniture. 3. a. The first metal was made in a foundry in the 1700s. b. The first coin was made in a foundry in the 1100s. c. The first furniture was made in a foundry in the 1800s. d. The first candle was made in a foundry in the 1600s. 4. a. A foundry is a place where metal is made. b.
5062,profession,Foundry,metalworking_occupations,A foundry is a factory that ,"For example, an iron foundry may use a cupola, induction furnace, or EAF, while a steel foundry will use an EAF or induction furnace.","1206 makes metal castings. 1207 Castings are made by pouring liquefied metal into a mold, which is 1208 a hollow shape of the desired product. The mold and the metal are 1209 both made of materials that can withstand extremely high 1210 temperatures because the metal is heated until it is liquid. The 1211 mold can be reused. 1212 Foundries produce metal parts for many industries, including the 1213 automotive industry. For"
5063,profession,Foundry,metalworking_occupations,"For example, an iron foundry may ",A foundry is a factory that produces metal castings.,"1200 tons of grey iron per month and the melting furnace may produce 1 ton of grey iron per hour. In the case of steel, the production may be 300,000 tons per month and the electric arc furnace produces 1 ton of steel in 30 minutes. The efficiency and productivity of the operations of the foundry or steel plant are measured in the same way as the efficiency and productivity of the melting furnace. The productivity of a foundry or steel plant is measured by the amount of metal produced by the plant per month or per"
5064,profession,Foundry,metalworking_occupations,"For example, an iron foundry may ","For example, an iron foundry may use a cupola, induction furnace, or EAF, while a steel foundry will use an EAF or induction furnace.","ﬁnd that it does not have the capacity to handle its regular orders, let alone new orders. It may be able to take on more orders by subcontracting to other foundries. This may be possible, but the subcontractor may not be able to comply with the order speciﬁcations and delivery dates, and may also be unreliable. Also, there may be problems in the transfer of information and in the quality of the subcontracted work. If this is the case, then an alternative course of action may be to invest in additional capacity. The foundry would then need to consider"
5065,profession,Machinist,metalworking_occupations,A machinist is a tradesperson who ,"A machinist is a tradesperson who machines using hand tools and machine tools to create or modify a part that is made of metal, plastics, or wood, although plastics or wood machining is rarely manufactured by machinists as those materials require lesser skill and almost all the work performed by a machinist is done on metal.",1) sets up and operates a machine tool to cut metal 2) shapes metal parts to close tolerances 3) makes precision measurements using a variety of precision measuring tools and 4) works with computer numerically controlled (CNC) equipment. What is a Machinist Apprenticeship? Machinists learn their trade through an apprenticeship program. Machinist apprenticeships include 4000 hours of paid on-the-job training and 300 hours of classroom instruction. Apprenticeships are sponsored by the International Association of Machin
5066,profession,Machinist,metalworking_occupations,A machinist is a tradesperson who ,A machinist is to metal what a carpenter or cabinet maker is to wood.,"496,183. The average hourly pay for a Machinist in Canada is C$24.18. The national average salary for a Machinist is $39,180 in United States. As of Dec 31, 2020, the average annual pay for a Machine Operator in the United States is $30,078 a year. Salary estimates are based on 4,255 salaries submitted anonymously to Indeed by Machinist employees, users, and collected from past and present job advertisements on Indeed"
5067,profession,Machinist,metalworking_occupations,A machinist is to metal what ,"A machinist is a tradesperson who machines using hand tools and machine tools to create or modify a part that is made of metal, plastics, or wood, although plastics or wood machining is rarely manufactured by machinists as those materials require lesser skill and almost all the work performed by a machinist is done on metal.","3D printers are to plastic and other materials. Machine shops have been around for a long time, but their technology is constantly evolving. Today, the term “machinist” is more likely to refer to someone who operates computerized equipment and uses computer-aided design and manufacturing (CAD/CAM) software to create precision parts. The machinist’s job can be quite demanding. They must be able to work with tight tolerances, read blueprints and specifications, use a variety of tools, and troubleshoot problems on the fly. Machinists"
5068,profession,Machinist,metalworking_occupations,A machinist is to metal what ,A machinist is to metal what a carpenter or cabinet maker is to wood.,"3D printing is to plastic. While 3D printing is good for prototyping, a machinist can work with the same metal as the final product. “When companies are making parts, they get a drawing and then they have to make the part based on that drawing,” said Paul Fleming, president of the American Precision Museum in Windsor. “Machinists have to be able to read those drawings.” The Vermont Technical College is offering a six-week machinist training program in January with the goal of getting more people into the field."
